Title,,Genre,Available Globally?,Release Date,Hours Viewed
Murdaugh Murders: A Southern Scandal: Season 1,,Drama,Yes,2023-02-22,"104,600,000"
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,N,Drama,Yes,2023-04-21,"104,500,000"
Breaking Bad: Season 3,,Draka,No,,"104,300,000"
Lucifer: Season 3,,Fantasy,No,2017-10-03,"102,800,000"
CoComelon: Season 2,,Children,No,2020-12-17,"102,300,000"
Café con aroma de mujer: Season 1,,Drama,No,2021-12-29,"101,700,000"
Love to Hate You: Season 1 // 연애대전: 시즌 1,N,Romance,Yes,2023-02-10,"99,900,000"
The Blacklist: Season 1,,Crime,No,,"99,900,000"
Shadow and Bone: Season 1,,Fantasy,Yes,2021-04-23,"99,500,000"
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",N,Drama,No,2022-11-23,"99,000,000"
Designated Survivor: Season 1,,Drama,Yes,2016-09-22,"98,500,000"
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,N,Romance,Yes,2022-12-21,"97,800,000"
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,,Drama,No,2022-05-20,"97,600,000"
Minions: The Rise of Gru,,Children,No,,"96,400,000"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",N,Fantasy,No,,"95,800,000"
The Blacklist: Season 9,,Crime,No,,"95,700,000"
That '90s Show: Part 1,,Comedy,Yes,2023-01-19,"95,100,000"
You: Season 2,,Thriller,Yes,2019-12-26,"95,000,000"
La Reina del Sur: Season 1,,Crime,No,2011-09-05,"94,700,000"
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,N,Drama,Yes,2022-01-28,"94,600,000"
New Amsterdam (2018): Season 2,,Drama,No,,"94,400,000"
Black Knight: Season 1 // 택배기사: 시즌 1,N,Romance,Yes,2023-05-12,"94,300,000"
Breaking Bad: Season 4,,Drama,No,,"94,300,000"
Obsession: Limited Series,,Drama,Yes,2023-04-13,"94,200,000"
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,N,Drama,Yes,2023-03-24,"92,900,000"
La Reina del Sur: Season 2,,Crime,No,2019-08-16,"92,500,000"
